Unnamed: 0,Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Shipping Address,Billing Address,Is Fraudulent,Account Age Days,Transaction Hour
16418,3ab0fa24-e201-42d9-862b-a0b71c79e9c2,5a5eaba8-913b-48f3-9ac1-620b17b42c92,229.9,2024-01-23 14:26:44,bank transfer,home & garden,3,45,West Amberhaven,mobile,195.75.86.250,"Unit 2595 Box 9167
DPO AP 94065","Unit 2595 Box 9167
DPO AP 94065",1,30,2
275683,ea2f29ad-39dd-495b-b3e8-abee0fe025d2,203b8e61-7050-4b01-a718-61fb5e5da385,574.04,2024-02-11 18:10:03,debit card,clothing,5,41,South Rachel,desktop,21.185.51.227,"Unit 5960 Box 8280
DPO AE 16121","3103 Bailey Plaza Apt. 946
New Stephanieville, AS 93195",0,286,18
587796,66cd6d9c-f1c1-4f37-a1c5-664f3ff7e6bd,bc71c708-ce4c-400c-be16-6f05c0a333c9,151.97,2024-02-10 23:24:33,bank transfer,health & beauty,1,27,Simmonsside,tablet,75.42.90.234,"791 Jackson Lake Suite 164
Lake Samuelport, WY 17071","791 Jackson Lake Suite 164
Lake Samuelport, WY 17071",0,340,23
1449151,262f1931-1f49-45de-b633-f540ca4c567c,84f865f8-1e78-44cc-bcc9-e6b962820d69,340.42,2024-03-13 17:39:57,debit card,home & garden,2,24,Heatherchester,desktop,131.88.48.24,"0904 Castillo Valley
South Brian, VT 77345","0904 Castillo Valley
South Brian, VT 77345",0,253,17
180168,98b80451-e1eb-4385-8200-21c758a96ac6,73141af6-2901-41a2-b285-787931b4b7a9,48.93,2024-01-25 19:36:07,bank transfer,electronics,4,44,Bethport,tablet,57.191.59.103,"7587 Brian Burg
Lake Chadborough, CO 74460","7587 Brian Burg
Lake Chadborough, CO 74460",1,315,2
974672,4532a9b6-d058-4bcb-b64d-4f839d453883,6dd140ed-c8ba-4e5c-9439-e571ee618f4a,117.26,2024-01-06 19:30:32,credit card,clothing,4,55,Diazstad,desktop,110.22.57.249,"0619 Vanessa Landing
Murphystad, CA 72039","0619 Vanessa Landing
Murphystad, CA 72039",0,214,19
1259495,846e1ef0-c793-41ad-97da-c13823f6932d,fcaa71cf-2d6f-4a71-9396-9c4ac4b045bc,264.86,2024-02-12 12:44:26,bank transfer,home & garden,4,43,Guzmanberg,mobile,132.239.119.115,"5066 Barnes Crescent Apt. 547
East Nancyfurt, IN 69146","5066 Barnes Crescent Apt. 547
East Nancyfurt, IN 69146",0,272,12
1211228,f394f4a7-fb7b-411d-ac5d-d7bc47838d98,a9e2ab4c-b82e-40ee-a958-cbc7a6ca2a06,1881.2,2024-03-31 11:09:44,PayPal,clothing,2,34,New Scott,tablet,77.82.152.174,"2401 Angela Ramp
Martinton, NE 26177","2401 Angela Ramp
Martinton, NE 26177",1,333,1
90533,1c425f97-1005-401a-871a-856025591e95,c392912f-11cf-448b-92b5-16e6662b124c,464.88,2024-02-19 02:45:32,debit card,home & garden,2,27,East Williamview,desktop,88.195.194.26,"2229 Jones Drives
Josephside, OR 55514","2229 Jones Drives
Josephside, OR 55514",0,186,2
1200183,4956e8d6-9ec0-4ffa-94ea-288b86f99ede,d9a4ae36-aa71-4dd6-877b-e685d3ffa1fb,222.5,2024-03-25 18:10:50,credit card,toys & games,4,31,Danielbury,desktop,145.145.154.93,"81583 Hernandez Valleys
West Thomasland, TN 06318","406 Hunter Park
West Claire, MD 44258",1,9,0
